TANGGAL;ISSUE;TEKNISI;ACTION_PLAN;SPARE_PART;DURATION_MINUTES
03/09/2024;PRINTING BOTAK;AGUS;PERBAIKAN PNEUMATIC FRAME LOCK;YA;7
07/01/2025;PREFEEDER FLEXO 4 ABNORMAL;ACA;PERBAIKAN WIRING FEEDER;TIDAK;23
19/11/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ACA
PEPEN
BENJHONSON";ADJUSTMENT PRINTING PRESSURE;TIDAK;12
12/10/2024;IMPRESSION FEED ROLL F4 ABNORMAL;INDARYONO;ADJUSTMENT PRINTING PRESSURE;TIDAK;28
06/01/2025;PHOTOCELL SENSOR ERROR;"AGUS
JOKO
DEDI";ADJUSTMENT PRINTING PRESSURE;YA;20
12/01/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"ACA
PEPEN";PERBAIKAN WIRING FEEDER;TIDAK;12
14/08/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"PEPEN
AGUS";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;30
09/11/2024;PRINTING BOTAK;"BENJHONSON
ACA";GANTI BEARING IMPRESSION ROLL;YA;85
31/01/2025;FEEDER ELEKTRIK;"RIZKI
BUDI
PEPEN";ADJUSTMENT PRINTING PRESSURE;TIDAK;17
20/10/2024;PREFEEDER FLEXO 4 ABNORMAL;"RIZKI
DEDI";GANTI BEARING IMPRESSION ROLL;TIDAK;36
17/08/2025;GEAR BOX FEEDER PROBLEM;RIZKI;GANTI BEARING IMPRESSION ROLL;TIDAK;7
27/04/2025;PRINTING BOTAK;"RIZKI
INDARYONO";PERBAIKAN WIRING FEEDER;YA;9
28/09/2025;PRINTING BOTAK;FIKRI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;29
02/02/2025;PHOTOCELL SENSOR ERROR;SAMSUL;PERBAIKAN WIRING FEEDER;TIDAK;66
05/11/2024;FEEDER ELEKTRIK;"SAMSUL
ACA";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;27
04/11/2024;PRINTING BOTAK;"INDARYONO
RIZKI
BUDI";ADJUSTMENT PRINTING PRESSURE;YA;16
14/10/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;AGUS;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;20
02/07/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;SAMSUL;ADJUSTMENT PRINTING PRESSURE;TIDAK;7
02/10/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"SAMSUL
AGUS
BUDI";GANTI OIL GEAR BOX;YA;32
26/08/2025;PREFEEDER FLEXO 4 ABNORMAL;"PEPEN
BUDI";GANTI OIL GEAR BOX;TIDAK;41
09/11/2024;PREFEEDER FLEXO 4 ABNORMAL;"AGUS
PEPEN
ACA";GANTI OIL GEAR BOX;TIDAK;14
04/09/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"SAMSUL
DEDI";CLEANING & ADJUSTMENT PREFEEDER;YA;14
05/10/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;SAMSUL;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;25
20/10/2024;PREFEEDER FLEXO 4 ABNORMAL;MAULANA;ADJUSTMENT PRINTING PRESSURE;YA;14
17/05/2025;PRINTING BOTAK;"INDARYONO
MAULANA";GANTI BEARING IMPRESSION ROLL;TIDAK;19
06/05/2025;PREFEEDER FLEXO 4 ABNORMAL;BUDI;GANTI BEARING IMPRESSION ROLL;TIDAK;107
15/08/2025;PRINTING BOTAK;"SAMSUL
MAULANA
JOKO";CLEANING & ADJUSTMENT PREFEEDER;YA;16
04/12/2024;PREFEEDER FLEXO 4 ABNORMAL;"AGUS
BENJHONSON
PEPEN";PERBAIKAN WIRING FEEDER;TIDAK;15
12/12/2024;PRINTING BOTAK;"ACA
FIKRI";GANTI OIL GEAR BOX;YA;12
29/06/2025;PRINTING BOTAK;AGUS;GANTI BEARING IMPRESSION ROLL;TIDAK;36
17/03/2025;GEAR BOX FEEDER PROBLEM;RIZKI;ADJUSTMENT PRINTING PRESSURE;TIDAK;17
15/11/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;RIZKI;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;12
19/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ACA
INDARYONO";GANTI OIL GEAR BOX;TIDAK;58
16/04/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PEPEN;ADJUSTMENT PRINTING PRESSURE;TIDAK;62
20/01/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ALIF;PERBAIKAN WIRING FEEDER;TIDAK;12
17/12/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"BUDI
JOKO
FIKRI";PERBAIKAN PNEUMATIC FRAME LOCK;YA;5
02/08/2025;PREFEEDER FLEXO 4 ABNORMAL;AGUS;GANTI OIL GEAR BOX;TIDAK;45
21/02/2025;PRINTING BOTAK;"FIKRI
PEPEN
ACA";GANTI OIL GEAR BOX;TIDAK;12
21/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"RIZKI
JOKO
FIKRI";PERBAIKAN WIRING FEEDER;YA;38
22/06/2025;GEAR BOX FEEDER PROBLEM;"FIKRI
AGUS";PERBAIKAN WIRING FEEDER;TIDAK;5
06/11/2024;GEAR BOX FEEDER PROBLEM;SAMSUL;PERBAIKAN WIRING FEEDER;TIDAK;41
27/06/2025;FEEDER ELEKTRIK;"MAULANA
INDARYONO";PERBAIKAN PNEUMATIC FRAME LOCK;YA;8
28/12/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"MAULANA
RIZKI
AGUS";ADJUSTMENT PRINTING PRESSURE;TIDAK;36
25/09/2025;PREFEEDER FLEXO 4 ABNORMAL;"FIKRI
BENJHONSON
MAULANA";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;20
22/09/2025;PRINTING BOTAK;INDARYONO;PERBAIKAN WIRING FEEDER;TIDAK;9
29/10/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"MAULANA
RIZKI
ALIF";PERBAIKAN WIRING FEEDER;YA;14
29/11/2024;IMPRESSION FEED ROLL F4 ABNORMAL;DEDI;ADJUSTMENT PRINTING PRESSURE;TIDAK;35
08/11/2024;GEAR BOX FEEDER PROBLEM;"BUDI
BENJHONSON";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;22
10/05/2025;PRINTING BOTAK;"ACA
BENJHONSON
DEDI";GANTI OIL GEAR BOX;YA;32
11/04/2025;PHOTOCELL SENSOR ERROR;"FIKRI
BENJHONSON";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;97
13/09/2024;GEAR BOX FEEDER PROBLEM;"MAULANA
BENJHONSON
INDARYONO";CLEANING & ADJUSTMENT PREFEEDER;YA;6
04/03/2025;PHOTOCELL SENSOR ERROR;"SAMSUL
BUDI";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;73
04/12/2024;GEAR BOX FEEDER PROBLEM;"DEDI
AGUS
BUDI";ADJUSTMENT PRINTING PRESSURE;YA;22
16/12/2024;FEEDER ELEKTRIK;"BUDI
ALIF";GANTI BEARING IMPRESSION ROLL;TIDAK;10
14/06/2025;PHOTOCELL SENSOR ERROR;FIKRI;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;7
07/04/2025;GEAR BOX FEEDER PROBLEM;"MAULANA
SAMSUL";PERBAIKAN PNEUMATIC FRAME LOCK;YA;17
23/05/2025;IMPRESSION FEED ROLL F4 ABNORMAL;MAULANA;ADJUSTMENT PRINTING PRESSURE;YA;42
27/09/2024;FEEDER ELEKTRIK;"ALIF
INDARYONO";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;18
07/01/2025;PRINTING BOTAK;"ALIF
MAULANA
PEPEN";GANTI BEARING IMPRESSION ROLL;YA;67
01/06/2025;FEEDER ELEKTRIK;BUDI;PERBAIKAN WIRING FEEDER;TIDAK;6
07/02/2025;PRINTING BOTAK;"INDARYONO
BUDI";GANTI OIL GEAR BOX;YA;20
26/06/2025;PRINTING BOTAK;AGUS;PERBAIKAN PNEUMATIC FRAME LOCK;YA;7
21/02/2025;PRINTING BOTAK;BENJHONSON;GANTI BEARING IMPRESSION ROLL;YA;27
11/11/2024;PREFEEDER FLEXO 4 ABNORMAL;"DEDI
ALIF";GANTI OIL GEAR BOX;YA;41
30/12/2024;PRINTING BOTAK;FIKRI;PERBAIKAN WIRING FEEDER;TIDAK;14
26/08/2025;PHOTOCELL SENSOR ERROR;ALIF;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;5
04/07/2025;GEAR BOX FEEDER PROBLEM;"MAULANA
BUDI";ADJUSTMENT PRINTING PRESSURE;YA;23
17/01/2025;GEAR BOX FEEDER PROBLEM;MAULANA;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;28
18/05/2025;PREFEEDER FLEXO 4 ABNORMAL;"ALIF
JOKO
RIZKI";GANTI BEARING IMPRESSION ROLL;YA;28
11/09/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;FIKRI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;54
09/07/2025;PHOTOCELL SENSOR ERROR;"AGUS
FIKRI";GANTI OIL GEAR BOX;YA;8
10/06/2025;PRINTING BOTAK;JOKO;ADJUSTMENT PRINTING PRESSURE;YA;34
09/04/2025;GEAR BOX FEEDER PROBLEM;"BUDI
PEPEN";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;52
31/10/2024;FEEDER ELEKTRIK;ALIF;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;5
12/04/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BENJHONSON;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;26
06/09/2024;PREFEEDER FLEXO 4 ABNORMAL;"DEDI
BUDI";PERBAIKAN WIRING FEEDER;YA;13
08/09/2024;PHOTOCELL SENSOR ERROR;"BENJHONSON
INDARYONO
MAULANA";PERBAIKAN PNEUMATIC FRAME LOCK;YA;19
13/04/2025;PREFEEDER FLEXO 4 ABNORMAL;INDARYONO;GANTI BEARING IMPRESSION ROLL;TIDAK;26
06/07/2025;GEAR BOX FEEDER PROBLEM;ACA;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;14
23/03/2025;PRINTING BOTAK;"MAULANA
AGUS
FIKRI";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;12
06/06/2025;PREFEEDER FLEXO 4 ABNORMAL;"DEDI
FIKRI";GANTI BEARING IMPRESSION ROLL;YA;21
16/04/2025;GEAR BOX FEEDER PROBLEM;ALIF;PERBAIKAN WIRING FEEDER;TIDAK;8
01/08/2025;PREFEEDER FLEXO 4 ABNORMAL;"ACA
ALIF";GANTI OIL GEAR BOX;TIDAK;8
16/05/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ALIF;ADJUSTMENT PRINTING PRESSURE;TIDAK;34
07/05/2025;IMPRESSION FEED ROLL F4 ABNORMAL;BENJHONSON;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;8
28/12/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"BUDI
BENJHONSON
MAULANA";GANTI BEARING IMPRESSION ROLL;YA;34
19/09/2024;PREFEEDER FLEXO 4 ABNORMAL;"RIZKI
AGUS
FIKRI";PERBAIKAN PNEUMATIC FRAME LOCK;YA;29
14/05/2025;PHOTOCELL SENSOR ERROR;ACA;GANTI BEARING IMPRESSION ROLL;TIDAK;5
16/03/2025;IMPRESSION FEED ROLL F4 ABNORMAL;INDARYONO;GANTI BEARING IMPRESSION ROLL;TIDAK;12
16/03/2025;PRINTING BOTAK;JOKO;ADJUSTMENT PRINTING PRESSURE;TIDAK;52
23/09/2024;PREFEEDER FLEXO 4 ABNORMAL;JOKO;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;9
31/05/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ACA
INDARYONO
BUDI";GANTI BEARING IMPRESSION ROLL;YA;14
09/07/2025;PHOTOCELL SENSOR ERROR;ACA;PERBAIKAN WIRING FEEDER;YA;29
23/09/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;DEDI;PERBAIKAN WIRING FEEDER;TIDAK;37
07/04/2025;PHOTOCELL SENSOR ERROR;"DEDI
INDARYONO
MAULANA";PERBAIKAN WIRING FEEDER;TIDAK;16
05/09/2025;GEAR BOX FEEDER PROBLEM;BUDI;ADJUSTMENT PRINTING PRESSURE;TIDAK;12
21/06/2025;GEAR BOX FEEDER PROBLEM;"FIKRI
BUDI";GANTI BEARING IMPRESSION ROLL;YA;62
15/03/2025;PRINTING BOTAK;"BENJHONSON
PEPEN
INDARYONO";GANTI BEARING IMPRESSION ROLL;TIDAK;80
14/10/2024;PREFEEDER FLEXO 4 ABNORMAL;"ACA
ALIF";PERBAIKAN WIRING FEEDER;TIDAK;44
20/09/2024;FEEDER ELEKTRIK;ALIF;GANTI BEARING IMPRESSION ROLL;TIDAK;21
01/08/2025;PHOTOCELL SENSOR ERROR;"INDARYONO
MAULANA";GANTI BEARING IMPRESSION ROLL;TIDAK;10
05/08/2025;IMPRESSION FEED ROLL F4 ABNORMAL;PEPEN;ADJUSTMENT PRINTING PRESSURE;TIDAK;10
09/09/2024;PRINTING BOTAK;RIZKI;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;30
04/05/2025;GEAR BOX FEEDER PROBLEM;"BENJHONSON
JOKO";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;28
11/10/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"BUDI
ALIF";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;61
02/12/2024;IMPRESSION FEED ROLL F4 ABNORMAL;ACA;ADJUSTMENT PRINTING PRESSURE;YA;34
26/12/2024;GEAR BOX FEEDER PROBLEM;PEPEN;PERBAIKAN WIRING FEEDER;YA;6
29/12/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"INDARYONO
PEPEN
AGUS";PERBAIKAN WIRING FEEDER;TIDAK;46
24/06/2025;IMPRESSION FEED ROLL F4 ABNORMAL;BUDI;GANTI OIL GEAR BOX;YA;9
02/10/2024;GEAR BOX FEEDER PROBLEM;ACA;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;15
04/06/2025;GEAR BOX FEEDER PROBLEM;SAMSUL;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;24
26/10/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"RIZKI
MAULANA";PERBAIKAN WIRING FEEDER;YA;99
31/12/2024;PREFEEDER FLEXO 4 ABNORMAL;SAMSUL;GANTI BEARING IMPRESSION ROLL;TIDAK;241
07/10/2024;GEAR BOX FEEDER PROBLEM;"ACA
PEPEN";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;32
08/07/2025;PHOTOCELL SENSOR ERROR;ALIF;ADJUSTMENT PRINTING PRESSURE;TIDAK;17
29/04/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"INDARYONO
PEPEN";GANTI BEARING IMPRESSION ROLL;YA;31
27/01/2025;PREFEEDER FLEXO 4 ABNORMAL;"INDARYONO
MAULANA";PERBAIKAN WIRING FEEDER;YA;41
08/02/2025;FEEDER ELEKTRIK;"FIKRI
DEDI
BUDI";PERBAIKAN WIRING FEEDER;TIDAK;15
20/12/2024;PRINTING BOTAK;"INDARYONO
AGUS";GANTI OIL GEAR BOX;YA;84
15/03/2025;PHOTOCELL SENSOR ERROR;"MAULANA
FIKRI
BENJHONSON";PERBAIKAN WIRING FEEDER;TIDAK;24
22/06/2025;GEAR BOX FEEDER PROBLEM;"DEDI
JOKO";PERBAIKAN WIRING FEEDER;YA;30
29/05/2025;PHOTOCELL SENSOR ERROR;SAMSUL;ADJUSTMENT PRINTING PRESSURE;TIDAK;34
25/05/2025;PRINTING BOTAK;ACA;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;28
29/01/2025;PREFEEDER FLEXO 4 ABNORMAL;BENJHONSON;GANTI BEARING IMPRESSION ROLL;YA;39
22/04/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"MAULANA
DEDI
BENJHONSON";ADJUSTMENT PRINTING PRESSURE;TIDAK;12
05/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BUDI;PERBAIKAN WIRING FEEDER;YA;13
05/03/2025;GEAR BOX FEEDER PROBLEM;"SAMSUL
BENJHONSON";ADJUSTMENT PRINTING PRESSURE;TIDAK;8
27/12/2024;FEEDER ELEKTRIK;BUDI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;28
12/08/2025;FEEDER ELEKTRIK;"PEPEN
SAMSUL
ACA";GANTI BEARING IMPRESSION ROLL;TIDAK;37
08/02/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;JOKO;ADJUSTMENT PRINTING PRESSURE;TIDAK;29
15/11/2024;FEEDER ELEKTRIK;"AGUS
BENJHONSON";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;76
08/09/2024;PREFEEDER FLEXO 4 ABNORMAL;JOKO;GANTI BEARING IMPRESSION ROLL;TIDAK;20
31/08/2025;PRINTING BOTAK;"MAULANA
PEPEN
INDARYONO";ADJUSTMENT PRINTING PRESSURE;YA;34
20/08/2025;PREFEEDER FLEXO 4 ABNORMAL;PEPEN;PERBAIKAN WIRING FEEDER;TIDAK;8
18/03/2025;PRINTING BOTAK;PEPEN;ADJUSTMENT PRINTING PRESSURE;TIDAK;15
02/01/2025;GEAR BOX FEEDER PROBLEM;MAULANA;GANTI BEARING IMPRESSION ROLL;TIDAK;35
30/06/2025;FEEDER ELEKTRIK;"MAULANA
DEDI";PERBAIKAN PNEUMATIC FRAME LOCK;YA;39
14/09/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"JOKO
AGUS";ADJUSTMENT PRINTING PRESSURE;TIDAK;16
27/01/2025;PHOTOCELL SENSOR ERROR;"DEDI
PEPEN";GANTI OIL GEAR BOX;YA;19
06/09/2025;PHOTOCELL SENSOR ERROR;"BUDI
MAULANA";CLEANING & ADJUSTMENT PREFEEDER;YA;6
01/07/2025;FEEDER ELEKTRIK;AGUS;GANTI OIL GEAR BOX;TIDAK;15
14/03/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"PEPEN
BUDI";GANTI OIL GEAR BOX;TIDAK;41
22/01/2025;PHOTOCELL SENSOR ERROR;BENJHONSON;GANTI BEARING IMPRESSION ROLL;TIDAK;32
22/02/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BUDI
FIKRI";PERBAIKAN WIRING FEEDER;TIDAK;30
07/04/2025;IMPRESSION FEED ROLL F4 ABNORMAL;JOKO;GANTI BEARING IMPRESSION ROLL;YA;21
13/11/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"DEDI
BENJHONSON
JOKO";PERBAIKAN WIRING FEEDER;TIDAK;20
22/06/2025;FEEDER ELEKTRIK;MAULANA;GANTI BEARING IMPRESSION ROLL;TIDAK;12
24/11/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ACA;ADJUSTMENT PRINTING PRESSURE;TIDAK;35
24/12/2024;PREFEEDER FLEXO 4 ABNORMAL;ACA;PERBAIKAN WIRING FEEDER;YA;28
28/12/2024;GEAR BOX FEEDER PROBLEM;PEPEN;PERBAIKAN PNEUMATIC FRAME LOCK;YA;30
10/06/2025;PHOTOCELL SENSOR ERROR;"FIKRI
PEPEN";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;13
21/09/2024;FEEDER ELEKTRIK;"FIKRI
BENJHONSON";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;5
14/09/2024;IMPRESSION FEED ROLL F4 ABNORMAL;ACA;PERBAIKAN WIRING FEEDER;TIDAK;48
10/09/2025;PRINTING BOTAK;"PEPEN
RIZKI";GANTI BEARING IMPRESSION ROLL;YA;14
02/09/2025;GEAR BOX FEEDER PROBLEM;RIZKI;ADJUSTMENT PRINTING PRESSURE;TIDAK;10
13/01/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ACA;GANTI OIL GEAR BOX;YA;35
01/03/2025;PHOTOCELL SENSOR ERROR;DEDI;CLEANING & ADJUSTMENT PREFEEDER;YA;15
15/02/2025;PREFEEDER FLEXO 4 ABNORMAL;"ALIF
ACA";ADJUSTMENT PRINTING PRESSURE;TIDAK;47
11/08/2025;PHOTOCELL SENSOR ERROR;DEDI;GANTI OIL GEAR BOX;TIDAK;33
20/09/2024;PRINTING BOTAK;DEDI;PERBAIKAN WIRING FEEDER;TIDAK;35
07/12/2024;PHOTOCELL SENSOR ERROR;"AGUS
FIKRI";PERBAIKAN PNEUMATIC FRAME LOCK;YA;7
04/01/2025;PREFEEDER FLEXO 4 ABNORMAL;"JOKO
BENJHONSON";GANTI OIL GEAR BOX;YA;53
14/01/2025;PRINTING BOTAK;RIZKI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;25
23/01/2025;PREFEEDER FLEXO 4 ABNORMAL;AGUS;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;15
06/09/2025;GEAR BOX FEEDER PROBLEM;INDARYONO;ADJUSTMENT PRINTING PRESSURE;YA;22
10/05/2025;FEEDER ELEKTRIK;"BENJHONSON
DEDI";CLEANING & ADJUSTMENT PREFEEDER;YA;5
03/04/2025;GEAR BOX FEEDER PROBLEM;SAMSUL;ADJUSTMENT PRINTING PRESSURE;TIDAK;28
30/12/2024;GEAR BOX FEEDER PROBLEM;RIZKI;PERBAIKAN WIRING FEEDER;YA;9
01/02/2025;PHOTOCELL SENSOR ERROR;ACA;GANTI OIL GEAR BOX;TIDAK;7
09/05/2025;PHOTOCELL SENSOR ERROR;"JOKO
SAMSUL
ALIF";PERBAIKAN WIRING FEEDER;TIDAK;6
30/01/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;MAULANA;GANTI BEARING IMPRESSION ROLL;TIDAK;49
17/04/2025;IMPRESSION FEED ROLL F4 ABNORMAL;AGUS;ADJUSTMENT PRINTING PRESSURE;YA;12
30/11/2024;PRINTING BOTAK;AGUS;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;68
23/08/2025;PRINTING BOTAK;"PEPEN
RIZKI
DEDI";PERBAIKAN WIRING FEEDER;TIDAK;13
18/08/2025;PREFEEDER FLEXO 4 ABNORMAL;ACA;GANTI BEARING IMPRESSION ROLL;TIDAK;5
20/12/2024;PHOTOCELL SENSOR ERROR;"INDARYONO
BUDI";GANTI BEARING IMPRESSION ROLL;TIDAK;8
12/08/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"JOKO
RIZKI";ADJUSTMENT PRINTING PRESSURE;TIDAK;54
12/01/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;RIZKI;GANTI OIL GEAR BOX;YA;18
21/02/2025;GEAR BOX FEEDER PROBLEM;ACA;ADJUSTMENT PRINTING PRESSURE;TIDAK;13
23/12/2024;FEEDER ELEKTRIK;BUDI;CLEANING & ADJUSTMENT PREFEEDER;YA;23
12/07/2025;FEEDER ELEKTRIK;PEPEN;PERBAIKAN WIRING FEEDER;TIDAK;30
11/09/2024;GEAR BOX FEEDER PROBLEM;FIKRI;ADJUSTMENT PRINTING PRESSURE;YA;49
27/08/2025;IMPRESSION FEED ROLL F4 ABNORMAL;FIKRI;PERBAIKAN WIRING FEEDER;YA;64
02/08/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BENJHONSON
ALIF";PERBAIKAN WIRING FEEDER;YA;15
20/11/2024;PHOTOCELL SENSOR ERROR;"JOKO
DEDI";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;7
22/11/2024;IMPRESSION FEED ROLL F4 ABNORMAL;JOKO;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;14
11/09/2025;PREFEEDER FLEXO 4 ABNORMAL;INDARYONO;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;25
23/10/2024;FEEDER ELEKTRIK;"FIKRI
RIZKI";PERBAIKAN PNEUMATIC FRAME LOCK;YA;9
23/01/2025;IMPRESSION FEED ROLL F4 ABNORMAL;BENJHONSON;GANTI OIL GEAR BOX;YA;9
18/09/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"MAULANA
JOKO
AGUS";ADJUSTMENT PRINTING PRESSURE;YA;26
15/09/2025;IMPRESSION FEED ROLL F4 ABNORMAL;MAULANA;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;19
05/09/2025;GEAR BOX FEEDER PROBLEM;"JOKO
INDARYONO
DEDI";GANTI OIL GEAR BOX;TIDAK;21
07/07/2025;PREFEEDER FLEXO 4 ABNORMAL;DEDI;PERBAIKAN WIRING FEEDER;TIDAK;11
09/12/2024;PHOTOCELL SENSOR ERROR;"ACA
ALIF";ADJUSTMENT PRINTING PRESSURE;TIDAK;17
16/09/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ACA;ADJUSTMENT PRINTING PRESSURE;YA;10
22/10/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"SAMSUL
RIZKI
JOKO";GANTI BEARING IMPRESSION ROLL;TIDAK;41
18/10/2024;PREFEEDER FLEXO 4 ABNORMAL;"BUDI
ACA";ADJUSTMENT PRINTING PRESSURE;TIDAK;46
26/08/2025;FEEDER ELEKTRIK;"BENJHONSON
JOKO";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;5
08/09/2025;PRINTING BOTAK;FIKRI;PERBAIKAN WIRING FEEDER;YA;10
20/04/2025;PREFEEDER FLEXO 4 ABNORMAL;"INDARYONO
JOKO";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;6
09/03/2025;PRINTING BOTAK;"MAULANA
AGUS";GANTI BEARING IMPRESSION ROLL;TIDAK;12
13/11/2024;PHOTOCELL SENSOR ERROR;"MAULANA
FIKRI
BUDI";CLEANING & ADJUSTMENT PREFEEDER;YA;19
09/05/2025;FEEDER ELEKTRIK;MAULANA;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;6
13/07/2025;PHOTOCELL SENSOR ERROR;"BUDI
DEDI";PERBAIKAN WIRING FEEDER;YA;10
01/10/2024;PHOTOCELL SENSOR ERROR;"ACA
JOKO";GANTI BEARING IMPRESSION ROLL;TIDAK;9
17/11/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;DEDI;PERBAIKAN WIRING FEEDER;TIDAK;24
28/03/2025;PHOTOCELL SENSOR ERROR;ACA;GANTI OIL GEAR BOX;YA;21
22/09/2025;FEEDER ELEKTRIK;"BUDI
RIZKI";GANTI BEARING IMPRESSION ROLL;YA;11
12/02/2025;PRINTING BOTAK;"RIZKI
BUDI
DEDI";GANTI OIL GEAR BOX;YA;23
24/10/2024;PRINTING BOTAK;"MAULANA
JOKO
PEPEN";PERBAIKAN PNEUMATIC FRAME LOCK;YA;13
25/05/2025;GEAR BOX FEEDER PROBLEM;PEPEN;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;16
29/10/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"RIZKI
PEPEN";GANTI OIL GEAR BOX;TIDAK;76
08/05/2025;PREFEEDER FLEXO 4 ABNORMAL;"BUDI
JOKO
DEDI";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;58
31/10/2024;PRINTING BOTAK;DEDI;GANTI OIL GEAR BOX;TIDAK;7
26/05/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
SAMSUL";GANTI OIL GEAR BOX;YA;39
